Produto,Marca,Preço,Preço Original
Jaqueta com estampa de logo,Maison Kitsuné,R$ 1.618,R$ 3.673
Blazer com capuz removível,ETRO,R$ 19.859,R$ 22.065
Jaqueta com cinto,Barbour,R$ 5.002,R$ 7.140
Jaqueta bomber Crazy Edge,Vans,R$ 1.740,R$ 1.932
Blazer de lã com padronagem pied-de-poule,FURSAC,R$ 4.857,R$ 9.702
Jaqueta Ispa Butterfly,Nike,R$ 5.782,R$ 6.801
Jaqueta college com logo,BARROW,R$ 2.354,R$ 4.697
Jaqueta jeans OG Active com capuz,Carhartt WIP,R$ 2.761,R$ 3.246
Jaqueta matelassê monogramada com capuz,Palm Angels,R$ 10.179,R$ 20.346
Colete Ultra Light matelassê,DSQUARED2,R$ 2.274,R$ 4.640
Jaqueta com zíper e estampa barroca,Versace,R$ 18.066,R$ 25.651
Jaqueta Skidoo com capuz,Napapijri,R$ 7.072,R$ 10.983
Jaqueta matelassê com logo,Blauer,R$ 3.085,R$ 4.440
Jaqueta corta-vento Chicago,Tommy Hilfiger,R$ 1.398,R$ 1.657
Jaqueta Jkt matelassê 2000,The North Face,R$ 2.622,R$ 2.934
Jaqueta bomber com estampa Barocco,Versace,R$ 20.613,R$ 27.591
Jaqueta de lã com abotoamento,AMI Paris,R$ 4.754,R$ 6.747
Jaqueta matelassê com logo DG e capuz,Dolce & Gabbana,R$ 6.750,R$ 11.250
Jaqueta bomber matelassê dupla face,Versace Jeans Couture,R$ 4.908,R$ 7.006
Jaqueta bomber de couro,Officine Generale,R$ 11.082,R$ 19.241
Jaqueta bomber com bordado de texto,Balmain,R$ 8.489,R$ 12.400
Jaqueta de lã com estampa xadrez,DSQUARED2,R$ 11.546,R$ 23.080
Jaqueta de tricô com recorte matelassê,Paul & Shark,R$ 7.865,R$ 11.231
Jaqueta esportiva Olive Seme,ROUGH.,R$ 2.597,R$ 3.270
Jaqueta jeans com zíper,Off-White,R$ 5.387,R$ 13.371
Parka encerada,Barbour,R$ 4.801,R$ 6.854
Jaqueta cropped com pelos,DSQUARED2,R$ 6.540,R$ 13.368
Jaqueta com logo bordado,Martine Rose,R$ 4.784,R$ 7.966
Jaqueta encerada,DUNST,R$ 3.276,R$ 3.852
Jaqueta bomber La Coupe Des Dieux,Versace,R$ 10.221,R$ 21.531
Jaqueta Arlo,Barbour International,R$ 1.417,R$ 2.020
Jaqueta matelassê com logo bordado,Moschino,R$ 4.777,R$ 9.543
