Produto,Marca,Preço,Preço Original,Desconto,Categoria Luxo,Media,Desconto Percentual,Classificação
Jaqueta matelassê com capuz,DSQUARED2,13243,13243,0.299,Muito Luxuoso,Alta,29.9,Jaqueta
Jaqueta jeans Natlover com capuz,Off-White,12467,12467,0.3986,Muito Luxuoso,Alta,39.86,Jaqueta
Jaqueta W-Rolfys matelassê,Diesel,6013,6013,0.2979,Luxoso,Baixa,29.79,Jaqueta
Jaqueta Truro com capuz e logo,Polo Ralph Lauren,11868,11868,0.4981,Muito Luxuoso,Alta,49.81,Jaqueta
Jaqueta matelassê de capuz ajustável,Herno,12113,12113,0.0996,Muito Luxuoso,Alta,9.96,Jaqueta
Blazer com forro em cetim,Off-White,18750,18750,0.399,Muito Luxuoso,Alta,39.9,Blazer
Jaqueta Hoxton matelassê,Barbour,5348,5348,0.2479,Luxoso,Baixa,24.79,Jaqueta
Jaqueta de couro com gola oversized,AMI Paris,25031,25031,0.4991,Muito Luxuoso,Alta,49.91,Jaqueta
Jaqueta acolchoada com logo,Kenzo,6664,6664,0.3974,Luxoso,Baixa,39.74,Jaqueta
Jaqueta Sashiko matelassê,Kenzo,11639,11639,0.2988,Muito Luxuoso,Alta,29.88,Jaqueta
Jaqueta com distintivo de bússola,Stone Island,9667,9667,0.2986,Luxoso,Baixa,29.86,Jaqueta
Blazer de lã virgem com abotoamento,AMI Paris,8065,8065,0.0996,Luxoso,Baixa,9.96,Blazer
Jaqueta de plush com zíper,Casablanca,17271,17271,0.2494,Muito Luxuoso,Alta,24.94,Jaqueta
Jaqueta de couro com logo,Off-White,24026,24026,0.3993,Muito Luxuoso,Alta,39.93,Jaqueta
Jaqueta mangas longas de fleece com patch de logo,Axel Arigato,3891,3891,0.2966,Luxoso,Baixa,29.66,Jaqueta
Jaqueta bomber Crinkle com estampa gráfica,44 LABEL GROUP,5634,5634,0.3969,Luxoso,Baixa,39.69,Jaqueta
Colete de lã xadrez Prince-Of-Wales,FURSAC,4319,4319,0.198,Luxoso,Baixa,19.8,Colete
Jaqueta bomber de couro,Corneliani,17182,17182,0.399,Muito Luxuoso,Alta,39.9,Jaqueta
Jaqueta com estampa camuflada,SAINT MXXXXXX,27103,27103,0.4493,Muito Luxuoso,Alta,44.93,Jaqueta
Jaqueta matelassê Versace Allover com logo,Versace,27387,27387,0.3994,Muito Luxuoso,Alta,39.94,Jaqueta
Jaqueta bomber Lucky Tiger com bordado,Kenzo,10331,10331,0.2987,Muito Luxuoso,Baixa,29.87,Jaqueta
Jaqueta bomber de camurça com zíper,Salvatore Santoro,16796,16796,0.1995,Muito Luxuoso,Alta,19.95,Jaqueta
Jaqueta matelassê com patch de logo,Emporio Armani,7349,7349,0.2983,Luxoso,Baixa,29.83,Jaqueta
Jaqueta Luck matelassê,Save The Duck,4171,4171,0.1484,Luxoso,Baixa,14.84,Jaqueta
Jaqueta bomber Horizon Skeletons,Etudes,6489,6489,0.4965,Luxoso,Baixa,49.65,Jaqueta
Jaqueta Harbin matelassê,Rains,7716,7716,0.2982,Luxoso,Baixa,29.82,Jaqueta
Jaqueta Oscar de camurça com zíper,Giuseppe Zanotti,13500,13500,0.6015,Muito Luxuoso,Alta,60.15,Jaqueta
Jaqueta com recorte estampado,A-COLD-WALL*,13022,13022,0.4485,Muito Luxuoso,Alta,44.85,Jaqueta
Jaqueta jeans com patchwork,AMBUSH,6791,6791,0.4471,Luxoso,Baixa,44.71,Jaqueta
